timestamp,x,y,z,conc,distance_to_source
0.0,20.009145724400454,20.00047051266357,3.0,0.01831563888873418,42.41960760829614
0.01,20.018266882411133,20.001411489479157,3.0,0.018339134202380473,42.41249383563619
0.02,20.027339810782706,20.002821719689408,3.0,0.01836374455078076,42.40508299247897
0.03,20.036340872421896,20.00469882389865,3.0,0.01838941335060611,42.39739332740542
0.04,20.04524651199653,20.007039250002432,3.0,0.018416081079378956,42.38944386374927
0.05,20.05403331236521,20.009838271543757,3.0,0.018443685348413043,42.38125436270019
0.06,20.062678051750193,20.013089988602,3.0,0.018472160984697894,42.372845284035876
0.07,20.07115776156056,20.01678733132104,3.0,0.018501440122327874,42.36423774445407
0.08,20.079449784760683,20.020922066182308,3.0,0.018531452304052266,42.355453473485234
0.09,20.087531834666553,20.025484805126744,3.0,0.018562124593489288,42.34651476697669
0.1,20.095382054039643,20.03046501762632,3.0,0.018593381698504323,42.3374444381516
0.11,20.102979074334943,20.03585104580134,3.0,0.018625146106200773,42.328265766259065
0.12,20.11030207494664,20.041630122673762,3.0,0.01865733822990932,42.319002442846255
0.13,20.117330842281824,20.047788393639237,3.0,0.018689876568489902,42.309678515699616
0.14,20.124045828479627,20.05431094123169,3.0,0.01872267787817856,42.300318330518756
0.15,20.13042820958077,20.06118181324361,3.0,0.01875565735711972,42.290946470405025
0.16,20.136459942940412,20.068384054253087,3.0,0.018788728842623233,42.281587693265415
0.17,20.14212382366593,20.075899740594995,3.0,0.018821805021076072,42.272266867252576
0.18,20.147403539850988,20.083710018798353,3.0,0.018854797650319277,42.26300890438171
0.19,20.152283726367862,20.09179514749524,3.0,0.01888761779417618,42.253838692486084
0.2,20.15675001697216,20.100134542788393,3.0,0.018920176068684708,42.24478102569413
0.21,20.160789094467486,20.108706827045147,3.0,0.018952382899450042,42.2358605336317
0.22,20.16438873867289,20.117489881064618,3.0,0.018984148789392287,42.227101609574206
0.23,20.16753787193292,20.126460899543265,3.0,0.01901538459602094,42.218528337793515
0.24,20.170226601909146,20.135596449741275,3.0,0.019046001817223535,42.2101644203639
0.25,20.172446261393272,20.144872533228824,3.0,0.019075912884414566,42.20203310370991
0.26,20.17418944488545,20.15426465056738,3.0,0.019105031461751288,42.194157105195906
0.27,20.17545004168724,20.163747868757145,3.0,0.019133272749990056,42.186558540072774
0.28,20.176223265267165,20.173296891257547,3.0,0.019160553793432376,42.179258849110404
0.29,20.176505678667567,20.182886130363958,3.0,0.019186793788293525,42.17227872725625
0.3,20.17629521573513,20.192489781700466,3.0,0.019211914390725136,42.16563805366894
0.31,20.175591197973258,20.202081900566235,3.0,0.019235840022633562,42.15935582348208
0.32,20.17439434683314,20.211636479851677,3.0,0.019258498173365144,42.15345008165669
0.33,20.172706791281158,20.22112752922093,3.0,0.019279819695275358,42.14793785928095
0.34,20.170532070503555,20.230529155239136,3.0,0.019299739091165596,42.142835112672756
0.35000000000000003,20.167875131634506,20.239815642107015,3.0,0.01931819479155983,42.13815666563417
0.36,20.164742322421038,20.248961532651524,3.0,0.019335129419804118,42.13391615519715
0.37,20.161141378767063,20.25794170921031,3.0,0.019350490043006048,42.13012598118666
0.38,20.1570814071292,20.266731474039265,3.0,0.01936422840688964,42.126797259910475
0.39,20.152572861768384,20.275306628867003,3.0,0.019376301152723617,42.12393978226542
0.4,20.147627516893508,20.283643553217875,3.0,0.019386670014585723,42.121561976526266
0.41000000000000003,20.142258433766038,20.291719281125815,3.0,0.019395301995355694,42.11967087605798
0.42,20.136479922867167,20.299511575865626,3.0,0.019402169519977898,42.118272092162755
0.43,20.130307501261612,20.306999002335623,3.0,0.019407250564705558,42.11736979224232
0.44,20.123757845323862,20.314160996736252,3.0,0.019410528761225922,42.11696668342276
0.45,20.11684873902341,20.320977933203256,3.0,0.019411993474768702,42.11706400175367
0.46,20.109599017994903,20.327431187070793,3.0,0.019411639855516326,42.11766150705747
0.47000000000000003,20.10202850964662,20.33350319445988,3.0,0.019409468862860383,42.11875748346698
0.48,20.0941579695863,20.33917750791003,3.0,0.019405487262280887,42.120348745651775
0.49,20.086009014666445,20.34443884779695,3.0,0.019399707594861062,42.12243065069574
0.5,20.077604052971726,20.349273149306402,3.0,0.019392148119686106,42.124997115550954
0.51,20.068966211088846,20.353667604763267,3.0,0.01938283272960656,42.12804063995623
0.52,20.0601192590138,20.357610701145475,3.0,0.019371790841073263,42.13155233467338
0.53,20.051087533062947,20.361092252644116,3.0,0.01935905725896578,42.13552195486049
0.54,20.041895857162555,20.36410342816353,3.0,0.019344672017540154,42.13993793837009
0.55,20.032569462896273,20.36663677368809,3.0,0.019328680198808318,42.144787448730504
0.56,20.02313390869167,20.36868622947529,3.0,0.019311131729831777,42.15005642254253
0.5700000000000001,20.013614998525256,20.370247142067388,3.0,0.01929208116056081,42.15572962099974
0.58,20.0040387005206,20.37131627114566,3.0,0.01927158742397859,42.161790685220474
0.59,19.994431065806253,20.37189179128232,3.0,0.019249713580414513,42.16822219506221
0.6,19.984818147989586,20.37197328867459,3.0,0.019226526547971533,42.17500573107569
